,id,name,summary,space,description,host_id,host_name,host_location,host_about,host_is_superhost,neighbourhood_group_cleansed,city,state,zipcode,market,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price
338,1128910,Spacious in central Kreuzberg,,"Hi there. I am offering my apartment for short term rentals when i am not in Berlin. The bedroom has got a balcony and is furnished with a new king-size bed, chair, mirror and clothes rail. The living space holds a new couch and offers a beautiful view. In the bathroom there is a nice shower and a washing maschine. The kitchen offers everything you need to cook. Clean towels and sheets are provided. The apartment is located in Dieffenbachstrasse within the Gräfekiez. One street away from the canal, the Admirals Brücke or Kottbuser Brücke. 5min away from Kottbusser Tor, Kreuzkölln and Hermannplatz. The area is famous for its bars, clubs, restaurants and laid-back lifestyle. The metro (Schönleinstrasse) is at 5min walk: line U8 will bring you to Alexanderplatz, Hackescher Markt and the museum area in a few stops.","Hi there. I am offering my apartment for short term rentals when i am not in Berlin. The bedroom has got a balcony and is furnished with a new king-size bed, chair, mirror and clothes rail. The living space holds a new couch and offers a beautiful view. In the bathroom there is a nice shower and a washing maschine. The kitchen offers everything you need to cook. Clean towels and sheets are provided. The apartment is located in Dieffenbachstrasse within the Gräfekiez. One street away from the canal, the Admirals Brücke or Kottbuser Brücke. 5min away from Kottbusser Tor, Kreuzkölln and Hermannplatz. The area is famous for its bars, clubs, restaurants and laid-back lifestyle. The metro (Schönleinstrasse) is at 5min walk: line U8 will bring you to Alexanderplatz, Hackescher Markt and the museum area in a few stops.",6193338,Malte,"Berlin, Berlin, Germany","37 years old, strategic planner in advertising, in Berlin since 1999. ",t,Friedrichshain-Kreuzberg,Berlin,Berlin,10967,Berlin,52.49215,13.41799,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{Internet,Wifi,Kitchen,""Buzzer/wireless intercom"",Heating,Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Host greets you""}",0.0,99.0
340,1135006,LOVELY APARTMENT AT LINIENSTRASSE,,"!!! OPTION FOR A VERY CHARMING FLAT IN MITTE ( LINIENSTRASSE)  lovely, bright and quiet 50sqm apartment (at linienstrasse, 10178 berlin) near Rosa Luxenburg Platz, Trainstation Alexander Platz) in berlins lively neighborhood mitte/prenzlauer berg, the best area in berlin. a lot of bars, galleries, restaurants, supermarkets, etc. the apartment is fully furnished, the kitchen fully equipped, linen, towels, TV, hifi, wlan (highspeed internet) all included. THE NEW HEART OF BERLIN !!! All MAJOR ATTRACTIONS IN WALKING DISTANCE -10 MINUTES WALKING TO HAKESCHER MARKT - 30 MINUTES TO BRANDENBURGER GATE famous bar's like the white trash, cafe burger, bar 3, ponybar, alt berlin, weekend (club), famous huge fleamarket at Mauerpark and many other shops and cafes, are easy to reach within 3-10 minutes walking ! the kitchen has a 600 liter aquarium with rare angelfish from the amazonas ! which creates a great atmosphere ! you don't have to care or feed the fish, everything is automatically. just enj","!!! OPTION FOR A VERY CHARMING FLAT IN MITTE ( LINIENSTRASSE)  lovely, bright and quiet 50sqm apartment (at linienstrasse, 10178 berlin) near Rosa Luxenburg Platz, Trainstation Alexander Platz) in berlins lively neighborhood mitte/prenzlauer berg, the best area in berlin. a lot of bars, galleries, restaurants, supermarkets, etc. the apartment is fully furnished, the kitchen fully equipped, linen, towels, TV, hifi, wlan (highspeed internet) all included. THE NEW HEART OF BERLIN !!! All MAJOR ATTRACTIONS IN WALKING DISTANCE -10 MINUTES WALKING TO HAKESCHER MARKT - 30 MINUTES TO BRANDENBURGER GATE famous bar's like the white trash, cafe burger, bar 3, ponybar, alt berlin, weekend (club), famous huge fleamarket at Mauerpark and many other shops and cafes, are easy to reach within 3-10 minutes walking ! the kitchen has a 600 liter aquarium with rare angelfish from the amazonas ! which creates a great atmosphere ! you don't have to care or feed the fish, everything is automatically. just enj",6226344,Tine,DE,"I am an artist. I do paintings, Collage and Installation. I have my Studio in Berlin. I earn my money by doing art.",t,Mitte,Berlin,Berlin,10178,Berlin,52.527319999999996,13.412370000000001,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,Kitchen,""Paid parking off premises"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""High chair"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Host greets you"",""Paid parking on premises""}",,63.0
349,1168611,Sunny 2 room apartment Berlin Kreuzberg central,"ACCOMMODATION  45 square meters apartment with a cozy balcony in the heart of Berlin Kreuzberg!  Bright and sunny, since it's located on the 5th floor. Two rooms (living room, bedroom), a kitchen and a small shower bathroom.  If you´re 2 guests  for 10 days or more,  the price is much LESS.  Just send a request.","The bedroom which I sublet has a medium size – it is furnished with one comfortable double-bed (140 cm x 200 cm), a sofa, a desk. The other  room,is of the same size as the bedroom, furnished with a sofa, a small table. I don’t have a TV – there is wifi internet access though of course. The bathroom is small shower bath with ventilation, nothing fancy but functional, there is a sink and the toilet is in the same room. The balcony is the perfect south-west orientated place having breakfast on or relax with an open view (which is quite rarely in Berlin) to a lot of trees and a lot of birds to listen to. There is a tabel with a chair and also a sun lounger, if needed. The kitchen is well equipped with all the standard appliances such as a fridge-freezer, electric hob & electric oven. It  includes a washing-machine, plenty of kitchen accessories for those who like to cook. There is a round kitchen table that can seat 2 people very comfortably and up to 4 people at a squeeze. Please note th","ACCOMMODATION  45 square meters apartment with a cozy balcony in the heart of Berlin Kreuzberg!  Bright and sunny, since it's located on the 5th floor. Two rooms (living room, bedroom), a kitchen and a small shower bathroom.  If you´re 2 guests  for 10 days or more,  the price is much LESS.  Just send a request. The bedroom which I sublet has a medium size – it is furnished with one comfortable double-bed (140 cm x 200 cm), a sofa, a desk. The other  room,is of the same size as the bedroom, furnished with a sofa, a small table. I don’t have a TV – there is wifi internet access though of course. The bathroom is small shower bath with ventilation, nothing fancy but functional, there is a sink and the toilet is in the same room. The balcony is the perfect south-west orientated place having breakfast on or relax with an open view (which is quite rarely in Berlin) to a lot of trees and a lot of birds to listen to. There is a tabel with a chair and also a sun lounger, if needed. The kitchen ",5601145,Karolina,"Berlin, Berlin, Germany","I m a psychologist, currently studying Photography, open-minded, easy going and all the other traits making strangers sound likable and interesting ... or people like to read about  :-) ! Second of all: I love to travel. I m working in social counseling and in an university.  I really enjoy living in Berlin Kreuzberg and from experience I certainly can say, visitors really love the conveniences and the great atmosphere here as well. ",t,Friedrichshain-Kreuzberg,Berlin,Berlin,10999,Berlin,52.4959,13.42765,Apartment,Private room,2,1.0,2.0,1.0,Real Bed,"{Internet,Wifi,Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,""First aid kit"",Essentials,Shampoo,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",""Well-lit path to entrance"",""Wide entrance"",""Accessible-height bed"",Waterfront,""Handheld shower head""}",,60.0
351,1172856,In the middle of the centre!,,"A quiet room in a 4 room flat is rentable with all things you need; light, a dishwasher, bathtub, washing machine, vacuum cleaner, elevator, balcony...","A quiet room in a 4 room flat is rentable with all things you need; light, a dishwasher, bathtub, washing machine, vacuum cleaner, elevator, balcony... Bathroom, kitchen, balcony- for enjoying a cigaret ;) Small Talk and advice about berlin inclusive! Central Location with lots of restaurants, museum, cinema. The spot is close to Hackischer Markt and Weinbergspark.",6420472,Gerit Bella,"Berlin, Berlin, Germany","Ich lebe seit 14 Jahren in Berlin, bin geschieden und habe zwei Kinder im Alter von 17 und 12 Jahren.
Nach Berlin zog ich wegen des Studiums. Wir lesen viel und bewegen uns gern im Freien, Berlins Umland ist reich an Seen und wunderschönen Wäldern. Ansonsten fahren wir gerne Fahrrad, viel und oft. Kochen täglich zusammen und singen, basteln. Wir sind eine lustige und warmherzige Familie.",t,Mitte,Berlin,Berlin,10115,Berlin,52.52905,13.38941,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{Wifi,Kitchen,Elevator,Heating,""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens""}",,39.0
363,1251299,sunny and cosy,its a beautiful sunny place with a big livingroom. there is a doublebed but also a couch that could be changed to get another doublebed. the kitchen is equiped with all what is needed. A bathroom with bathtube+hair-dryer and a 2.room with bed&balcony,"a cosy home, sunny and a little room which is very quite - no ""IKEA"" style, equiped with everything you need, a really good situated place, nice neighbourhood, central with good connection to interesting places 2-6 person can stay there - difficult maybe because 6 person would use one bathroom","its a beautiful sunny place with a big livingroom. there is a doublebed but also a couch that could be changed to get another doublebed. the kitchen is equiped with all what is needed. A bathroom with bathtube+hair-dryer and a 2.room with bed&balcony a cosy home, sunny and a little room which is very quite - no ""IKEA"" style, equiped with everything you need, a really good situated place, nice neighbourhood, central with good connection to interesting places 2-6 person can stay there - difficult maybe because 6 person would use one bathroom Wlan Everything in the household which isnt personal I help you to find the place with the publics and answer all your questions i will not be in berlin during your stage",6817854,Bibu,"Berlin, Berlin, Germany","i am a filmmaker
i like to dance (contact improvisation) and to travel, I like people and the work that i am doing
speaking: english,, deutsch, italiano, francais and a little espagnol

",t,Mitte,Berlin,Berlin,10115,Berlin,52.53402,13.39652,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,Kitchen,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",Bathtub,Crib,""Pack ’n Play/travel crib"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed""}",,68.0
365,1266630,Luxury URBAN apt on KaDeWe/Ku'Damm,The apt offers an exclusive comfort and unique design in a quiet street located in the most central location in Berlin.,"This stylish OdRoch apt includes all the necessities for your unforgettable stay and more. After a long day exploring the city you deserve enjoying a warm relaxing shower in a modern bathroom, turning on the air-condition, playing a movie from your iPad through the apple TV to the 46"" LED TV and having the best sleeping experience with a top quality King-Size Box-spring bed. When waking up, the morning coffee from the Nespresso machine while enjoying the green balcony will assure your day a great start.","The apt offers an exclusive comfort and unique design in a quiet street located in the most central location in Berlin. This stylish OdRoch apt includes all the necessities for your unforgettable stay and more. After a long day exploring the city you deserve enjoying a warm relaxing shower in a modern bathroom, turning on the air-condition, playing a movie from your iPad through the apple TV to the 46"" LED TV and having the best sleeping experience with a top quality King-Size Box-spring bed. When waking up, the morning coffee from the Nespresso machine while enjoying the green balcony will assure your day a great start. OdRoch apt is situated only a few steps away from the legendary KaDeWe department store as well as the main commercial street, Ku’Damm, where the top international fashion stores are to be found. The apt is only 200m away from Wittenbergplatz. U-Bahn (Metro): U1/U2/U3 lines  Bus: M19/M29/M46",3171163,Roi,"Berlin, Berlin, Germany",Our suites offer an exclusive comfort and unique design in the most central location in Berlin. ,t,Tempelhof - Schöneberg,Berlin,Berlin,10777,Berlin,52.50301999999999,13.343020000000001,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water""}",,40.0
368,1268990,"Kreuzberg: central, calm, spacious and cosy","In the heart of Kreuzberg and  just two minutes from the international, multi-cultural hustle and bustle of the famous Oranienstrasse, the room is very quiet at the end of a large apartment with a view of our beautiful Berlin backyard. The guests (there is a second guest room) have their own newly renovated large bathroom.","The guest room is very quiet and bright (with morning sun), large (25-m2) and is located at the end of a 150-m2 apartment next to the shared guest bathroom.  It has just been renovated (2016), has a 1.60 m wide bed with new mattresses, a comfortable sofa, a large table with two chairs, a sink with stove and refrigerator, coffee maker, kettle and various utensils for self catering.  Despite the quiet location you walk just two minutes to the typical multi-cultural Kreuzberg scene of the famous Oranienstrasse next to U-Bahn Kottbusser Tor. You can have breakfast in countless coffee houses, eat in different restaurants with culinary delights and snacks cheap and tasty once around the globe. There is a wide selection of trendy bars, cocktail bars and typical old Berlin pubs as the ""Max and Moritz"" or ""Henne"". Internationally known clubs such as the ""Sage Club"", ""Kater Holzig"" or ""Ritter Butzke"" can easily be reached on foot.","In the heart of Kreuzberg and  just two minutes from the international, multi-cultural hustle and bustle of the famous Oranienstrasse, the room is very quiet at the end of a large apartment with a view of our beautiful Berlin backyard. The guests (there is a second guest room) have their own newly renovated large bathroom. The guest room is very quiet and bright (with morning sun), large (25-m2) and is located at the end of a 150-m2 apartment next to the shared guest bathroom.  It has just been renovated (2016), has a 1.60 m wide bed with new mattresses, a comfortable sofa, a large table with two chairs, a sink with stove and refrigerator, coffee maker, kettle and various utensils for self catering.  Despite the quiet location you walk just two minutes to the typical multi-cultural Kreuzberg scene of the famous Oranienstrasse next to U-Bahn Kottbusser Tor. You can have breakfast in countless coffee houses, eat in different restaurants with culinary delights and snacks cheap and tasty o",1422088,Gabriele,"Berlin, Berlin, Germany","Mein Name ist Gabriele, ich bin Künstlerin, Fotografin, Filmemacherin und lebe seit 35 Jahren in Berlin-Kreuzberg. 
I am an artist working with photography and film, living in Berlin since 35 years.",t,Friedrichshain-Kreuzberg,Berlin,Berlin,10997,Berlin,52.50439,13.42159,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Wifi,Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,Washer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Hot water"",""Bed linens"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Garden or backyard"",""Luggage dropoff allowed"",""Hot water kettle""}",269.0,45.0
376,1292808,Central private room next to the canal + Netflix,- Metro-Bus:  1 min walking (Prinzenstrasse U1) - Free Coffee | Tea  - Kitchen full equipped  - Free Netflix (32 inch TV) - Free Wifi | Free parking nearby - Towels | Bed linen included - Grocery/Supermarket  1 minute - Elevator -Registriernummer : 02/Z/AZ/ (Phone number hidden by Airbnb),"Apartment: -Central location.  -Quiet. -Clean. -Comfortable bed. -Convenient transport. -1 minute  form the canal. -Shared Kitchen/Bathroom full equipped.  Us: -We are a happy couple ready to host you like you are our friend.  Nearby: -Restaurants: with Turkish /Syrian/ Italian /Greek/ Chinese/ Korean/  and more. -Clubs: Ritter Butzke/ Watergate/ Berghain/ Tresor -Museums : Jewish/ Technological/ Topography of Terror/FHXB -Art: Berlinische Galerie/ Künstlerhaus Bethanien/  -Many Cozy Coffee Shops and Bars  Distances: -East side gallery (part of the wall is 3 train stops  -Alexanderplatz  4 stops ,  -Brangerburger tor 10 minutes by bike.  -Mauer Park (big street market ,8 train stops)   -Chek point Charlie 8 minutes by bike ( 2 stops with U bahn  -Technical Museum 6 minutes by bike  -Zoo 7 stops with Ubahn  -Kurfustendamm ,Ka De We, 6 stops with train  -Kottuser tor 1 minute by bike","- Metro-Bus:  1 min walking (Prinzenstrasse U1) - Free Coffee | Tea  - Kitchen full equipped  - Free Netflix (32 inch TV) - Free Wifi | Free parking nearby - Towels | Bed linen included - Grocery/Supermarket  1 minute - Elevator -Registriernummer : 02/Z/AZ/ (Phone number hidden by Airbnb) Apartment: -Central location.  -Quiet. -Clean. -Comfortable bed. -Convenient transport. -1 minute  form the canal. -Shared Kitchen/Bathroom full equipped.  Us: -We are a happy couple ready to host you like you are our friend.  Nearby: -Restaurants: with Turkish /Syrian/ Italian /Greek/ Chinese/ Korean/  and more. -Clubs: Ritter Butzke/ Watergate/ Berghain/ Tresor -Museums : Jewish/ Technological/ Topography of Terror/FHXB -Art: Berlinische Galerie/ Künstlerhaus Bethanien/  -Many Cozy Coffee Shops and Bars  Distances: -East side gallery (part of the wall is 3 train stops  -Alexanderplatz  4 stops ,  -Brangerburger tor 10 minutes by bike.  -Mauer Park (big street market ,8 train stops)   -Chek point Cha",4904972,Paula,"Berlin, Berlin, Germany","We like to travel, to meet new people ,to discover new things and listen new stories. That's why when we travel we try to avoid big hotels and we prefer to rent through airbnb and meet local people. In Berlin i live with my friend Billy
We are from Argentina and Greece,  the last 6 years we live in Berlin. Paula works in a kindergarten and Billy as electronic engineer. 

We both are very open, and friendly and we will try to do our best to maximize your joy in your trip, and we will treat you like our friends.

Best, 
Paula and Billy
",t,Friedrichshain-Kreuzberg,Berlin,Berlin,10969,Berlin,52.49928000000001,13.40787,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",Elevator,""Free street parking"",Heating,Washer,Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,""Host greets you""}",,31.0
377,1306679,rightinthemiddle! Nähe Mauerpark,,"gorgeous small apartement in a renovated old building with balcony direction sud/east tasefully designed kitchen/livingroom with sofa and TV bathroom with bathtub and mediterranean flair  sleeping room in a simple style with comfortible bed Sheets and towels are included Wlan included! The apartement ist located in the middle of Berlin between Prenzlauer Berg und Mitte. You are surrrounded by a lots of nice little restaurants, scene-bars, theaters, cinemas and super shopping-possibilities. The flea-market ""Mauerpark"" every Sunday and the ""Kollwitzplatzmarket"": berlins most famous weekly market every Saturday are 5 Min. away. ","gorgeous small apartement in a renovated old building with balcony direction sud/east tasefully designed kitchen/livingroom with sofa and TV bathroom with bathtub and mediterranean flair  sleeping room in a simple style with comfortible bed Sheets and towels are included Wlan included! The apartement ist located in the middle of Berlin between Prenzlauer Berg und Mitte. You are surrrounded by a lots of nice little restaurants, scene-bars, theaters, cinemas and super shopping-possibilities. The flea-market ""Mauerpark"" every Sunday and the ""Kollwitzplatzmarket"": berlins most famous weekly market every Saturday are 5 Min. away. ",7101186,Katja,"Berlin, Berlin, Germany","und arbeite als freischaffende Bühnen- und Kostümbildnerin.
Ich lebe hier zusammen mit meinem Freund: Titus, der eine Professur für Schauspiel  innehat, und unserem Sohn.
Ich gehe gerne auf Flohmärkte, umgebe mich mit schönen Dingen und trinke gerne ein Glas Wein auf einem unserer 2 Balkone, die ich auch als Kräutergarten nutze!
Ich spiele gerne Skat und Doppelkopf- wenn sich ein Partner dafür findet
",t,Mitte,Berlin,Berlin,10119,Berlin,52.53949,13.4023,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Elevator,""Buzzer/wireless intercom"",Heating,Washer,""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",""Hot water"",""Bed linens"",""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Host greets you""}",,65.0
382,1328436,Kreuzberg_Bergmannstrasse_in the middle of it,"Geschmackvoll sanierte möblierte Altbauwohnung im Seitenflügel des Gebäude mit WLAN, Blick in den grünen Hof, in dem man sitzen kann. Gut geeignet für Paare! Das ruhige, große Zimmer ist ein gemütliches Wohnzimmer, im ruhigen kleinen Zimmer gibt es ein Doppelbett 1,60 x 2,00 m zum Schlafen Check-in: Wer vor 16.00 schon sein Gepäck abgeben möchte kann dies gerne mit mir vereinbaren. Check-out: Wer sein Gepäck nach 12.00 noch in der Wohnung lassen möchte, kann dies gerne später holen.","stylish renovated apartment right on (Website hidden by Airbnb) the sidewing of the building, peaceful and quiet with stucco ceiling, wooden floors and fireplace. fully equipped kitchen and bathroom, located in a green backyard for eating outdoor and relaxation, see the pictures, ideal for couples!  In winter you have the possibility to create a warm and cosy atmosphere either with the heating or with the fireplace, where you can sit and just look into the dancing flames. (This is my favourite place!!!) In the apartment you find a variety of coffee and tea for a cosy waking up in the morning and for little breaks during the day, just help yourself and enjoy! including bedding and towels. The apartment is located in the middle of Bergmannstr. which is the so called ""heart of Kreuzberg"".  When you go out of the big Entrance Door you are close to all sorts of fascinating shops, restaurants, bars and cafés. It is hard to decide where to go.... Marheineke Market Hall is 100 m away and the n","stylish renovated apartment right on (Website hidden by Airbnb) the sidewing of the building, peaceful and quiet with stucco ceiling, wooden floors and fireplace. fully equipped kitchen and bathroom, located in a green backyard for eating outdoor and relaxation, see the pictures, ideal for couples!  In winter you have the possibility to create a warm and cosy atmosphere either with the heating or with the fireplace, where you can sit and just look into the dancing flames. (This is my favourite place!!!) In the apartment you find a variety of coffee and tea for a cosy waking up in the morning and for little breaks during the day, just help yourself and enjoy! including bedding and towels. The apartment is located in the middle of Bergmannstr. which is the so called ""heart of Kreuzberg"".  When you go out of the big Entrance Door you are close to all sorts of fascinating shops, restaurants, bars and cafés. It is hard to decide where to go.... Marheineke Market Hall is 100 m away and the n",7209360,Martina,"Berlin, Berlin, Germany","Hallo! Ich liebe Reisen und Reisende und freue mich, meine Wohnung anderen zur Verfügung zu stellen, um meine schöne Heimatstadt zu entdecken. 
Ich wohne gerne in Kreuzberg, weil es so vielfältig ist.",t,Friedrichshain-Kreuzberg,Berlin,Berlin,10961,Berlin,52.489059999999995,13.390939999999999,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{Internet,Wifi,Kitchen,""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Essentials,Shampoo,""Hair dryer"",""Laptop friendly workspace""}",0.0,63.0
411,1471798,Music studio Wrangelkiez,"Enter the wild heart of the Wrangelkiez! The Görlitzer Park, restaurants of all nations, bars, clubs, flea & turquish markets, Badeschiff - its all here! Special: If you are a DJ, Producer or Musician, you can use my studio at request.","My place at a glanc (Website hidden by Airbnb) If you look for a place where you can totally relax and escape the vibrant city, here it is: * super quiet location because the street is a blind alley * flat is right next to Görlitzer Park * step up and relax on a higher level...literally! * sleeping in weightlessness thanks to memory foam visco-elastic mattress & cusions. Goodbye back & neck  pain! :) * spacious and bright bath with bathtub * change color in bathroom to your mood * totally equipped kitchen for all your needs As the ad describes it, we SHARE the flat.  When I am around, my room is the music studio next door. Special: Music Studio request (Website hidden by Airbnb) Sometimes I have DJs or music producers who have to finish tracks on the road or play the vinyl they buy at Hardwax or Spacehall...they have the possibility to use my equipment in this case, see equipment below in Guest Access. Descriptio (Website hidden by Airbnb) Berlin Kreuzberg is for me the real Berlin , e","Enter the wild heart of the Wrangelkiez! The Görlitzer Park, restaurants of all nations, bars, clubs, flea & turquish markets, Badeschiff - its all here! Special: If you are a DJ, Producer or Musician, you can use my studio at request. My place at a glanc (Website hidden by Airbnb) If you look for a place where you can totally relax and escape the vibrant city, here it is: * super quiet location because the street is a blind alley * flat is right next to Görlitzer Park * step up and relax on a higher level...literally! * sleeping in weightlessness thanks to memory foam visco-elastic mattress & cusions. Goodbye back & neck  pain! :) * spacious and bright bath with bathtub * change color in bathroom to your mood * totally equipped kitchen for all your needs As the ad describes it, we SHARE the flat.  When I am around, my room is the music studio next door. Special: Music Studio request (Website hidden by Airbnb) Sometimes I have DJs or music producers who have to finish tracks on the roa",7879983,Daniel,"Berlin, Berlin, Germany","Came to Berlin because of the love for electronic music and the relationship still gets better and better ;-) Activ in the fields of music producing, marketing and IT technology. Likes to travel and is always up for new, exciting places. So exchanging with the guests helps discovering all the wonderful places still to visit.",t,Friedrichshain-Kreuzberg,Berlin,Berlin,10997,Berlin,52.4998,13.43634,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,Wifi,Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",Other}",,80.0
412,1481357,Kreuzberg Extravaganza,"The 20 sq m room is located in the heart of Kreuzberg. In 2 min you can be at the metro station. You will be surrounded by all important bars, clubs and interesting sights in Berlin. By walking you reach the famous East side Gallery, the river and Oberbaumbrücke. It is also close to the street food market Markthalle9, Lido, Watergate club or Berghain. On top of that the room is located in a hidden quiet corner of the street.","The cozy room is a special place with a calm architectural/design flair. The room is located in a charming  flat with wooden floor and high ceiling. It is on the 1st floor and the windows are facing a cute backyard. The kitchen is equipped for breakfast feel free to use it. Fresh bed linens and towels are provided. The flat is kept clean, I am a non-smoker and I don't have pets.","The 20 sq m room is located in the heart of Kreuzberg. In 2 min you can be at the metro station. You will be surrounded by all important bars, clubs and interesting sights in Berlin. By walking you reach the famous East side Gallery, the river and Oberbaumbrücke. It is also close to the street food market Markthalle9, Lido, Watergate club or Berghain. On top of that the room is located in a hidden quiet corner of the street. The cozy room is a special place with a calm architectural/design flair. The room is located in a charming  flat with wooden floor and high ceiling. It is on the 1st floor and the windows are facing a cute backyard. The kitchen is equipped for breakfast feel free to use it. Fresh bed linens and towels are provided. The flat is kept clean, I am a non-smoker and I don't have pets. A quiet, comfortable, bright 20 m² room  A double cold foam mattress (140x200 cm). Coffee table and a desk. A small couch Beds are covered with fresh bed sheets and towels are provided Your",1826978,Dominic,"Berlin, Berlin, Germany","Hi,
my Name is Dominic, I'm 25 years old and i love traveling around. At the moment i work, live and study in Berlin.
",t,Friedrichshain-Kreuzberg,Berlin,Berlin,10997,Berlin,52.50069000000001,13.44011,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Wifi,Kitchen,""Hot tub"",Heating,Washer,Essentials,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Host greets you""}",,48.0
